Franchise Number,Name,Owner,Address,City,State,Zip
1114,Ocala,"Williams, Gregory T.",3407 SW 7th Street,Ocala,FL,34474-
1115,Catonsville,"Brenner, Michael & Melissa",4030-C Benson Avenue,Baltimore,MD,21227-
1196,Summerville,"Smith, Reggie & Debra",402 Old Trolley Rd. Suite 117,Summerville,SC,29485-
1294,Haverhill/Newburyport,"Lavigne, Patrick & Michelle",P.O. Box 1723,Haverhill,MA,01831-2423
1326,Silver Spring North,"Gutierrez, Jorge & Michelle",850 E. Gude Drive Suite H,Rockville,MD,20850-
1371,South-East Monroe County,"Necci, Michael",60 N. Lincoln Rd.,E. Rochester,NY,14445-1336
1444,Greater Boulder,"Olson, Erik S. & Kristine C. & Beck, Scott",9085 Marshall Court,Westminster,CO,80031-
1478,Florence County,"Hoover, Phyllis & Hoover, Jr., John",2600 Pisgah Road,Florence,SC,29501-
1509,Buffalo/Tonawanda,"Sullivan, William & Patricia & Sullivan, Jennifer","57 Windsong Court, Suite 101",Amherst,NY,14051-1664
1739,Columbus,"Carraway, Dennis & Melissa & Carraway, Brandon",P.O. Box 8116,Columbus,GA,31908-
1793,Danvers/Ipswich,"Lavigne, Patrick & Michelle",P.O. Box 1723,Haverhill,MA,01831-
1820,Manchester-East,"Rouleau, Michael","497 Hooksett Rd #2, Pmb 341",Manchester,NH,03104-2650
1899,The Lower Shore,"Sartorio, David R.",P.O. Box 500,Hebron,MD,21830-
1932,Apopka-Wekiva,"Tracy, Scott",1800 Pembrook Drive,Orlando,FL,32810-
1988,Olympia,"Fitzgerald, Thomas & Karen",P.O. Box 694,Olympia,WA,98507-0694
1994,Tallahassee,"Horner, Robert & Horner, Charles",P.O. Box 12753,Tallahassee,FL,32317-
2603,Storm-Wilson,"Wilson, David Benjamin & Wilson, Phillip Brady",11063 Hwy 280,Westover,AL,35147-
2605,Storm-Robbins,"Robbins, Timothy",74 Industrial Park Drive,Dover,NH,03820-
2607,Document Restoration LLC,"Nieman, Pete",801 Industrial Boulevard,Gallatin,TN,37066-
2608,Pure Storm Team,"Bertini, Sr., James M.",112 Mott Street,Oceanside,NY,11572-
2610,Commercial Large Loss Division,"Shipley, Ray",801 Industrial Boulevard,Gallatin,TN,37066-
2611,Robbins BXCP,"Robbins, Timothy",74 Industrial Park Drive,Dover,NH,03820-
2612,Jeffries BXCP,"Jeffries, Daniel","8484 Wilshire Boulevard, Suite 605",Beverly Hills,CA,90211-
2613,Olson BXCP,"Olson, Erik S.",9085 Marshall Court,Westminster,CO,80031-
2614,Bowen BXCP,"Bowen, Brian H. & Bowen, Bruce H.",1032 Legrand Blvd. Unit D,Charleston,SC,29492-
2615,Wilson BXCP,"Wilson, David Benjamin & Wilson, Phillip Brady",2000 Huntley Parkway,Pelham,AL,35124-
2616,Reed BXCP,"Reed, Alan F. & Corral, Manuel T. & Barber, Darryn",16601 Ventura Blvd 4th Floor,Encino,CA,91436-
2617,Nicholson BXCP,"Nicholson, Thomas Brent",1880 Ashland City Road,Clarksville,TN,37043-
2618,Meacham BXCP,"Meacham, Susan",2436 Peyton Road,Houston,TX,77032-
2619,Nitzsche BXCP,"Nitzsche, Grant & Alissa",2206 N. Main Street #333,Wheaton,IL,60187-
2620,Miller BXCP,"Miller, Randy & Tina",470 N. Adams Street,Saginaw,MI,48604-
2621,Luzzi BXCP,"Luzzi, Dion M.",231 High Street Unit 3,Westerly,RI,02891-
2622,Wolfe BXCP,"Wolfe, David & Angie",8372 N. US Hwy 45,Effingham,IL,62401-
2623,Bahen BXCP,"Bahen, Thomas","913 Business Park Drive, Suite D",Chesapeake,VA,23320-
2625,Wall BXCP,"Wall, Jr., James R.",P.O. Box 156,Cockeysville,MD,21030-
3000,Servpro Central Headquarters,"Servpro Central Head,",801 Industrial Boulevard,Gallatin,TN,37066-
5008,St. Mary's County,"Whittles, Vincent",22690 Three Notch Road,Lexington Park,MD,20653-
5014,Citrus Heights/Roseville,"Carpenter, Robert & Jennifer",701 Del Paso Road,Sacramento,CA,95834-
5053,Largo,"Greenway, Burton & Deanna",1569 S. Missouri Ave,Clearwater,FL,33756-
5120,The Seacoast,"Robbins, Timothy & Wallin, Amy G.",74 Industrial Park Drive,Dover,NH,03820-
5135,Lexington-Bedford,"Taylor (Couturier), Steven & Taylor (Couturier), David","50 Sun St, Ste 1",Waltham,MA,02453-
5152,Casper,"Sleep, Gerald & Gale & Sleep, Jeffrey & Sleep, John",P.O. Box 1982,Casper,WY,82602-
5172,Thousand Oaks,"Brooks, Michael & Mary",1317-C Lawrence Drive,Newbury Park,CA,91320-
5186,Rockville-Olney,"Gutierrez, Jorge & Michelle",P.O. Box 1772,Rockville,MD,20849-1772
5248,Chesterfield,"Bahen, Andrew M. & Theresa C.",12200 Deergrove Road,Midlothian,VA,23112-
5263,NE St. Petersburg,"Greenway, Burton & Deanna",111 2nd Avenue N. #360-B,St. Petersburg,FL,33701-
5276,Denver East,"Mayfield, Theresa & Mayfield, Estate of Gary",P.O. Box 1254,Englewood,CO,80150-
5309,Springfield,"Negro, Bill",2450 Colt Road,Springfield,IL,62707-
5312,"Delaware, OH","Cottrill, Richard & Cottrill-Mescher, Leah",740 Radio Drive,Lewis Center,OH,43035-
5318,"Carthage, Joplin","Cook, Greg & Barbara & Cook, Brandon	 & Sloan, Zachary & Megan",1507 W. Mound,Carthage,MO,64836-
5325,Darlington,"Hoover, Phyllis & Hoover, Jamie",2141 Harry Byrd Highway,Darlington,SC,29532-
5360,South Orange County,"Johnson, Brad & Johnson, Laura B. & Johnson, Brittany A.",1259 Dolsontown Road,Middletown,NY,10940-
5379,North Irving,"Weaver, Michael J. & Liliana E.",8717 Governors Row,Dallas,TX,75247-
5389,Salem/Plaistow,"White, Gregg & White, Eric & White, Brian",P.O. Box 428,Windham,NH,03087-
5390,The Andovers,"White, Gregg & White, Eric & White, Brian",P.O. Box 3172,Andover,MA,01810-
5395,Chatsworth/Stevenson Ranch,"Barlow, April & Bridges, Grant",12847 Arroyo Street,Sylmar,CA,91342-
5407,Charles County,"Stroup, Jonathan",4441 Southern Business Park Dr,White Plains,MD,20695-
5408,Northern Summit County,"Johnson, Bruce & Terri",1546 Georgetown Rd.,Hudson,OH,44236-
5437,Danbury/Ridgefield,"Yoran, Calvin & Yoran, Scott",P.O. Box 3536,Danbury,CT,06813-3536
5455,Cheshire County,"Paul, Derek A. & Paul, Ryan R.",140 Old Route 12 E,Westmoreland,NH,03467-
5533,Oxon Hill,"Stroup, Jonathan",4441 Southern Business Park Dr,White Plains,MD,20695-
5539,Lake Geneva,"Weber, Timothy & Alicia",120 E. Sheridan Springs Rd.,Lake Geneva,WI,53147-
5542,West Orange,"Tracy, Scott",9100 Conroy Windermere Road Ste 200,Windermere,FL,34786-
5544,Mandarin,"Braddock, Tom & Robin",2205 Saint Johns Bluff Road S.,Jacksonville,FL,32246-
5574,Bessemer/SW Jefferson,"Wilson, David Benjamin & Wilson, Phillip Brady",2000 Huntley Parkway,Pelham,AL,35124-
5575,Center Point,"Wilson, David Benjamin & Wilson, Phillip Brady",2000 Huntley Parkway,Pelham,AL,35124-
5576,Birmingham South,"Wilson, David Benjamin & Wilson, Phillip Brady",2000 Huntley Parkway,Pelham,AL,35124-
5579,East Greenwich/Warwick,"Tutsch, Jr., Joseph & Tutsch, Kayla & Mattos, Frank & Cabral, Jason & Erica & Mazurek, Richard & Jenna",1193 Broad St.,Providence,RI,02905-
5581,Providence,"Tutsch, Jr., Joseph & Tutsch, Kayla & Mattos, Frank & Cabral, Jason & Erica & Mazurek, Richard & Jenna",1193 Broad St.,Providence,RI,02905-
5614,Lake County,"Brennan, Joshua N. & Brennan, Diane & Denhard, Chad B.",15617 Old US Hwy 441,Tavares,FL,32778-
5627,Hockessin/Elsmere,"Mehan, Sr., Andrew & Mehan, Linda & Mehan, Sean & Brown, Tara",225 N. James Street Suite A,Wilmington,DE,19804-
5634,Concord,"Rouleau, Gregg & Mancini, Fernando",6 Tallwood Drive,Bow,NH,03304-
5655,North Orange County,"Johnson, Brad & Johnson, Laura B. & Johnson, Brittany A.",1259 Dolsontown Road,Middletown,NY,10940-
5676,San Luis Obispo,"Powers, Joseph & Karen",3661 Sacramento Drive Suite 4,San Luis Obispo,CA,93401-
5683,Champaign/Urbana,"McGuire, David & Suzanne",3813 N. Cunningham Avenue,Urbana,IL,61802-
5699,Portage County,"Johnson, Bruce & Terri",9314 State Route 43,Streetsboro,OH,44241--5326
5720,Santa Maria,"Powers, Mark J.","1279 W. Stowell Road, Suite C",Santa Maria,CA,93458-
5726,Camarillo,"Vujovich, Patricia & Nunes, Michael",79 E. Daily Drive #513,Camarillo,CA,93010-
5727,Dyersburg/Union City,"Caldwell, David & Diane",104 E. Highway 77,Newbern,TN,38059-
5769,NW Monroe County,"Wandtke, James & Michele",1520 Emerson Street,Rochester,NY,14606-
5770,Easton,"Davis, Stephen & Dawn",860 N Kiowa St.,Allentown,PA,18109-
5786,Brandywine/Wilmington,"Mehan, Sr., Andrew & Mehan, Linda & Mehan, Sean & Brown, Tara",225 N James Street Suite B,Wilmington,DE,19804-
5795,Gresham,"Mesford, Dennis & Ellen A.",P.O. Box 235,Gresham,OR,97030-
5799,Amherst-Clarence,"Sullivan, William & Patricia & Sullivan, Jennifer","57 Windsong Court, Suite 101",Amherst,NY,14051-1664
5805,Auburn/Enumclaw,"Friermuth, K. Doug & Friermuth, Kevin D.",14224 Pioneer Way E,Puyallup,WA,98372-
5817,Brunswick,"Corbitt, Teresa Lavallee & Lavallee, Ryan",1019 Commercial Drive,Brunswick,GA,31525-
5819,Broome County East,"Yurka, Danielle Sepe & Sepe, Justin & Travis, Nicole",P.O. Box 654,Binghamton,NY,13902-
5825,East Erie County,"Sullivan, William & Patricia & Sullivan, Jennifer","57 Windsong Court, Suite 101",Amherst,NY,14051-1664
5831,Cedar Rapids,"Kellogg, Brett",111 Miller Road,Hiawatha,IA,52233-
5857,La Porte County,"Mitchell, Sean & Tiffany",3201 S. Ohio Street,Michigan City,IN,46360-
5863,Bowie,"Bilik, Adam & Josefina Soledad",P.O. Box 33,Bowie,MD,20719-0033
5875,North Arlington,"Higginbotham, Bryan & Pamela & Higginbotham, Brandon",251 SW Wilshire Boulevard #115-B,Burleson,TX,76028-
5897,"Waycross, Hinesville & Douglas","Corbitt, Teresa Lavallee & Lavallee, Ryan",609 Memorial Drive,Waycross,GA,31501-
5908,Reisterstown,"Brenner, Michael & Melissa",4030-C Benson Avenue,Baltimore,MD,21227-
5913,Douglasville,"Wilson, Ricky & Cathy Joyce & Wilson, Jeremy & Wilson, Zachary",14861 Veterans Memorial Hwy,Villa Rica,GA,30180-
